KnowledgeArticleId,Title,Summary,Message__c,Chat_Answer__c
kA230000000TygFCAS,*支払いアカウント情報の変更方法,支払いアカウント情報の変更方法を紹介しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000Tyg3CAC,サービス障害の対処方法,サービス障害の対処方法を紹介しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000Tyg8CAC,ログインページがダウンした場合,ログインページがダウンした場合の対処方法を紹介しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000Tyg7CAC,不正行為の警告通知があった場合,不正行為の警告通知があった場合の対処方法を紹介しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000TygGCAS,支払いプランの変更について,支払いプランの変更について説明しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000TygDCAS,支払い催促Eメールの内容変更,支払い催促Eメールの内容変更について説明しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000TygJCAS,支払い延期のプロセス変更について,支払い延期のプロセス変更について説明しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000TygICAS,製品保守のスケジュール,製品保守のスケジュールについて説明しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000Tyg6CAC,請求や支払いに誤りがある場合,請求や支払いに誤りがある場合の対処方法を紹介しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
kA230000000TygHCAS,返品や返金のポリシー変更について,返品や返金のポリシー変更について説明しています,"<h2>	支払いに使用しているアカウント情報を変更する方法</h2><p>	経理責任者は、下記の方法で支払いに使用しているアカウントを変更することができます。</p><ol><li>		支払いに使用したいアカウントを使用して<a href=""""/"""" target=""""_blank"""">ログイン</a>する。</li><li>		支払いに使用したいアカウントを選択する。</li><li>		「支払い情報設定」画面に進む。</li><li>		「支払いに使用する」を選択して保存する。</li></ol><p>	設定が完了したら完了通知のメールが送信されます。</p><p>	より詳細な情報は<a href=""""/"""" target=""""_blank"""">こちら</a>をご覧ください。</p><img alt="""""""" src=""""https://c.na12.content.force.com/servlet/rtaImage?eid=ka2U00000004WlA&feoid=00NU0000004JsjH&refid=0EMU00000000Mum"""" /><p>	&nbsp;</p><h4>	クレジットカード情報などの支払い情報の変更方法を教えてください。</h4><p>	支払い情報を変更するには、<a href=""""/"""" target=""""_blank"""">支払いと配送</a>&nbsp;FAQページを参照ください。 特定のアプリについて支払い情報を変更するには、そのアプリにログインし、支払い設定ページを開いてください。</p><p>	&nbsp;</p><h4>	支払い情報を変更後、再度有効化する必要がありますか？</h4><p>	再度有効化の必要はありません。クレジットカード番号や支払い住所などの変更を保存したら、次回の支払いは自動で新しい情報を使用します。有効化したり、前の支払い契約をキャンセルする必要はありません。</p><p>	&nbsp;</p>",
