Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,Parceiros Unidos*,São Paulo,"Av. das Nações Unidas,11855",São Paulo,,04578-908,Brazil,"Av. das Nações Unidas,11855",São Paulo,,04578-908,Brazil,(11) 3099-8197,(11) 3099-8195,http://www.parceirosunidos.com,Anteriormente conhecido como United Parceiros *.,,,
Account.004,Parceiros Unidos (Recife),Recife,Rua Dona Laura Gondim 299,Recife,,52071-400,Brazil,Rua Dona Laura Gondim 299,Recife,,52071-400,Brazil,(81) 9398-9733,(81) 9398-9735,http://unitedpartnerswashingtondc.net,Um inovador em sua área.,,,
Account.002,Parceiros Unidos (Ribeirão Preto),Ribeirão Preto,Rua Nelson Pasqualin 1856,Ribeirão Preto,,14093-516,Brazil,Rua Nelson Pasqualin 1856,Ribeirão Preto,,14093-516,Brazil,(16) 4613-3918,(16) 4613-3915,http://www.unitedpartnersbayarea.com,líder de mercado no seu campo.,,,
Account.010,Revendedores Acme,Caxias do Sul,Rua Antônio Longo 1249,Caxias do Sul,,95097-280,Brazil,Rua Antônio Longo 1249,Caxias do Sul,,95097-280,Brazil,(54) 2981-6795,(54) 2981-6798,http://www.acmeresellers.com,Um inovador em sua área.,,,
Account.006,Soluções Avançadas*,São Luís,Rua Nova II 1784,São Luís,,65049-000,Brazil,Rua Nova II 1784,São Luís,,65049-000,Brazil,(98) 4085-2817,(98) 4085-2815,http://www.Advanced.com,líder de mercado no seu campo.,,,
Account.007,Serviços Universal,Natal,Vila Martins 741,Natal,,59063-191,Brazil,Vila Martins 741,Natal,,59063-191,Brazil,(84) 6268-2746,(84) 6268-2745,http://universalservices.net,Um inovador em sua área.,,,
Account.008,Empresa Vand,Joinville,Rua Alfredo Geiser 1810,Joinville,,89217-446,Brazil,Rua Alfredo Geiser 1810,Joinville,,89217-446,Brazil,(47) 6066-8681,(47) 6066-8685,http://vandenterprisesinc.net,líder de mercado no seu campo.,,,
Account.009,Tecnologias Aliadas,São João da Boa Vista,Rua Lauro Godoy 1987,São João da Boa Vista,,13871-003,Brazil,Rua Lauro Godoy 1987,São João da Boa Vista,,13871-003,Brazil,(19) 6168-8168,(19) 6168-8165,http://www.alliedtechnologies.ie,Um inovador em sua área.,,,
Account.003,Parceiros Unidos (São Gonçalo),São Gonçalo,Rua Roberto Duarte 1797,São Gonçalo,,24467-355,Brazil,Rua Roberto Duarte 1797,São Gonçalo,,24467-355,Brazil,(21) 5571-9113,(21) 5571-9115,http://unitedpartnersaz.net,Um inovador em sua área.,,,
